"","Visit.ID","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score.x","Agency.x","WRIA.Number.x","Basin.x","Subbasin.x","Stream.or.River","Project.x","Visit.Date","Year","Lab.Name","Site.Code.x","Latitude.x","Longitude.x","Row","Site.ID","WRIA.Number.y","WRIA","Basin.y","Subbasin.y","Stream","Agency.y","Project.y","Site.Code.y","Latitude.y","Longitude.y","Event.Date","Date.Released","Taxonomic.Resolution","Total.SqFt","Taxa.Richness.Quantity","Ephemeroptera.Richness.Quantity","Plecoptera.Richness.Quantity","Trichoptera.Richness.Quantity","EPT.Richness.Quantity","Clinger.Richness.Quantity","Long-Lived.Richness.Quantity","Intolerant.Richness.Quantity","Percent.Dominant.Quantity","Predator.Percent.Quantity","Tolerant.Percent.Quantity","Number.of.Organisms","Overall.Score.y","Taxa.Richness.Score","Ephemeroptera.Richness.Score","Plecoptera.Richness.Score","Trichoptera.Richness.Score","Clinger.Richness.Score","Long-Lived.Richness.Score","Intolerant.Richness.Score","Percent.Dominant.Score","Predator.Percent.Score","Tolerant.Percent.Score","diff"
"11",23,32,3,8,4,12,10,2,336,37,40,462,8.00865800865801,8.65800865800866,72.7272727272727,7.61904761904762,2.85714285714286,10,3.75,4.11764705882353,10,2.85714285714286,2.44019138755981,3.82900432900433,8.13752139333535,55.6076975020563,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","McCormick Creek (Vashon)","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E1219",47.482269,-122.477836,1958,297,9,"WRIA 9 - Duwamish-Green","Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","McCormick Creek (Vashon)","King County - Roads","ESA Water Quality","E1219",47.482269,-122.477836,38958,39622,"Coarse",3,32,3,8,4,15,12,10,2,0.727,0.087,0.08,462,55.6,7.6,2.9,10,3.8,4.1,10,2.9,2.4,3.9,8.1,0.00769750205633812
"12",25,11,2,1,2,4,2,1,13,2,3,24,8.33333333333333,12.5,54.1666666666667,0,1.42857142857143,0,1.25,0,0,1.42857142857143,7.32456140350877,5.75,8.06201550387597,25.2437197645276,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Gorsuch Creek","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","P847",47.454895,-122.44634,1943,299,9,"WRIA 9 - Duwamish-Green","Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Gorsuch Creek","King County - Roads","ESA Water Quality","P847",47.454895,-122.44634,38958,39622,"Coarse",3,11,2,1,2,5,4,2,1,0.542,0.125,0.083,24,25.2,0,1.4,0,1.2,0,0,1.4,7.3,5.8,8.1,0.043719764527598
"13",26,30,4,5,6,19,10,3,123,8,15,248,3.2258064516129,6.04838709677419,49.5967741935484,6.66666666666667,4.28571428571429,5.71428571428571,6.25,8.23529411764706,10,4.28571428571429,8.52716468590832,2.5241935483871,9.24981245311328,65.7388457574367,"King County - Roads",8,"Sammamish River Basin","Evans Creek Subbasin","Evans Creek tributary (0108)","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E882",47.672051,-122.079016,1164,300,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Evans Creek Subbasin","Evans Creek tributary (0108)","King County - Roads","ESA Water Quality","E882",47.672051,-122.079016,38959,39622,"Coarse",3,30,4,5,6,15,19,10,3,0.496,0.06,0.032,248,65.7,6.7,4.3,5.7,6.2,8.2,10,4.3,8.5,2.5,9.3,0.0388457574367038
"14",27,13,0,3,2,5,5,0,52,7,2,70,10,2.85714285714286,74.2857142857143,0,0,2.85714285714286,1.25,0,3.75,0,2.03007518796992,0.928571428571429,7.67441860465116,18.4902080783354,"King County - Roads",8,"Sammamish River Basin","Evans Creek Subbasin","Rutherford Creek","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E892",47.651716,-122.039827,1205,301,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Evans Creek Subbasin","Rutherford Creek","King County - Roads","ESA Water Quality","E892",47.651716,-122.039827,38959,39622,"Coarse",3,13,0,3,2,5,5,5,0,0.743,0.029,0.1,70,18.5,0,0,2.9,1.2,0,3.8,0,2,1,7.7,-0.00979192166462894
"15",28,24,6,7,5,17,8,6,132,3,23,206,1.45631067961165,11.1650485436893,64.0776699029126,3.80952380952381,7.14285714285714,8.57142857142857,5,7.05882352941176,7.5,8.57142857142857,4.71640265712825,5.08252427184466,9.66132309776473,67.1143116513875,"King County - Roads",7,"Lower Snoqualmie Basin","Harris Creek Subbasin","Harris Creek","ESA Water Quality","2006-08-31",2006,"ABR, Inc.","E1088",47.694576,-121.900166,208,302,7,"WRIA 7 - Snohomish","Lower Snoqualmie Basin","Harris Creek Subbasin","Harris Creek","King County - Roads","ESA Water Quality","E1088",47.694576,-121.900166,38960,39622,"Coarse",3,24,6,7,5,18,17,8,6,0.641,0.112,0.015,206,67.1,3.8,7.1,8.6,5,7.1,7.5,8.6,4.7,5.1,9.7,0.0143116513875157
"16",29,25,3,5,5,12,6,2,317,1,58,468,0.213675213675214,12.3931623931624,67.7350427350427,4.28571428571429,2.85714285714286,5.71428571428571,5,4.11764705882353,5,2.85714285714286,3.75393612235717,5.6965811965812,9.95030808984297,49.2327581818906,"King County - Roads",7,"Lower Snoqualmie Basin","Harris Creek Subbasin","Harris Creek","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1105",47.721954,-121.876792,211,303,7,"WRIA 7 - Snohomish","Lower Snoqualmie Basin","Harris Creek Subbasin","Harris Creek","King County - Roads","ESA Water Quality","E1105",47.721954,-121.876792,38959,39622,"Coarse",3,25,3,5,5,13,12,6,2,0.677,0.124,0.002,468,49.2,4.3,2.9,5.7,5,4.1,5,2.9,3.8,5.7,10,0.0327581818905855
"17",31,29,5,8,6,18,11,7,185,10,88,415,2.40963855421687,21.2048192771084,44.578313253012,6.19047619047619,5.71428571428571,10,6.25,7.64705882352941,10,10,9.84781230183894,10,9.4396189408798,85.08925197101,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","McDonald Creek (Issaquah)","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E1138",47.479231,-122.035462,1290,305,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Issaquah Creek Subbasin","McDonald Creek (Issaquah)","King County - Roads","ESA Water Quality","E1138",47.479231,-122.035462,38957,39622,"Coarse",3,29,5,8,6,19,18,11,7,0.446,0.212,0.024,415,85.1,6.2,5.7,10,6.2,7.6,10,10,9.8,10,9.4,-0.0107480289899513
"18",36,11,2,1,2,6,1,0,162,38,2,222,17.1171171171171,0.900900900900901,72.972972972973,0,1.42857142857143,0,1.25,0.588235294117647,0,0,2.37553342816501,0,6.01927508904253,11.6616152398966,"King County - Roads",8,"Cedar River / Lake Washington Basin","Juanita Creek Subbasin","Juanita Creek","ESA Water Quality","2006-09-01",2006,"ABR, Inc.","E1186",47.725794,-122.192822,561,309,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Juanita Creek Subbasin","Juanita Creek","King County - Roads","ESA Water Quality","E1186",47.725794,-122.192822,38961,39622,"Coarse",3,11,2,1,2,5,6,1,0,0.73,0.009,0.171,222,11.7,0,1.4,0,1.2,0.6,0,0,2.4,0,6,-0.0383847601033853
"19",37,20,3,3,5,10,5,2,124,20,34,237,8.43881856540084,14.3459915611814,52.3206751054852,1.9047619047619,2.85714285714286,2.85714285714286,5,2.94117647058824,3.75,2.85714285714286,7.81034865645125,6.67299578059072,8.03748405455794,44.6881954383786,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Judd Creek","ESA Water Quality","2006-09-05",2006,"ABR, Inc.","E1231/1232",47.422008,-122.477995,1951,310,9,"WRIA 9 - Duwamish-Green","Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Judd Creek","King County - Roads","ESA Water Quality","E1231/1232",47.422008,-122.477995,38965,39622,"Coarse",3,20,3,3,5,11,10,5,2,0.523,0.143,0.084,237,44.7,1.9,2.9,2.9,5,2.9,3.8,2.9,7.8,6.7,8,-0.011804561621382
"20",39,23,5,5,2,10,5,3,306,1,43,428,0.233644859813084,10.0467289719626,71.4953271028037,3.33333333333333,5.71428571428571,5.71428571428571,1.25,2.94117647058824,3.75,4.28571428571429,2.76438760452533,4.52336448598131,9.94566398608998,44.2222115948039,"King County - Roads",9,"Duwamish - Green River Basin","Lower Green River - W Subbasin","Bingamon Creek","ESA Water Quality","2006-09-11",2006,"ABR, Inc.","P586",47.353758,-122.264287,1685,312,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Lower Green River - W Subbasin","Bingamon Creek","King County - Roads","ESA Water Quality","P586",47.353758,-122.264287,38971,39622,"Coarse",3,23,5,5,2,12,10,5,3,0.715,0.1,0.002,428,44.2,3.3,5.7,5.7,1.2,2.9,3.8,4.3,2.8,4.5,10,0.0222115948039061
"21",40,20,3,4,3,10,7,5,89,10,30,171,5.84795321637427,17.5438596491228,52.046783625731,1.9047619047619,2.85714285714286,4.28571428571429,2.5,2.94117647058824,6.25,7.14285714285714,7.88242536164974,8.2719298245614,8.64001087991296,52.6760187271885,"King County - Roads",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Rock Creek","CIP Support","2006-08-31",2006,"ABR, Inc.","E633-CIP-1",47.379965,-122.017497,712,314,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Rock Creek (Lower Cedar)","King County - Roads","CIP Support","E633-CIP-1",47.379965,-122.017497,38960,39622,"Coarse",3,20,3,4,3,10,10,7,5,0.52,0.175,0.058,171,52.7,1.9,2.9,4.3,2.5,2.9,6.2,7.1,7.9,8.2,8.7,-0.0239812728114686
"22",42,28,4,7,7,17,7,5,161,5,27,289,1.73010380622837,9.34256055363322,55.7093425605536,5.71428571428571,4.28571428571429,8.57142857142857,7.5,7.05882352941176,6.25,7.14285714285714,6.9185940630122,4.17128027681661,9.59765027762131,67.2106338611476,"King County - Roads",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Rock Creek","CIP Support","2006-08-31",2006,"ABR, Inc.","E633-CIP-3",47.379871,-122.017552,715,316,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Rock Creek (Lower Cedar)","King County - Roads","CIP Support","E633-CIP-3",47.379871,-122.017552,38960,39622,"Coarse",3,28,4,7,7,18,17,7,5,0.557,0.093,0.017,289,67.2,5.7,4.3,8.6,7.5,7.1,6.2,7.1,6.9,4.2,9.6,0.0106338611475962
"23",45,27,4,5,8,13,6,3,116,7,43,226,3.09734513274336,19.0265486725664,51.3274336283186,5.23809523809524,4.28571428571429,5.71428571428571,8.75,4.70588235294118,5,4.28571428571429,8.07172799254774,9.01327433628319,9.27968717843178,64.3443813840134,"King County - Roads",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Cedar River - Lower tributary","ESA Water Quality","2006-08-31",2006,"ABR, Inc.","E716",47.433416,-122.050215,652,319,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Cedar River - Lower tributary","King County - Roads","ESA Water Quality","E716",47.433416,-122.050215,38960,39622,"Coarse",3,27,4,5,8,17,13,6,3,0.513,0.19,0.031,226,64.3,5.2,4.3,5.7,8.8,4.7,5,4.3,8.1,9,9.3,0.0443813840134055
"24",46,31,5,5,7,14,7,4,180,3,36,359,0.835654596100279,10.0278551532033,50.1392757660167,7.14285714285714,5.71428571428571,5.71428571428571,7.5,5.29411764705882,6.25,5.71428571428571,8.38440111420613,4.51392757660167,9.80566172183715,66.0338223454181,"King County - Roads",8,"Cedar River / Lake Washington Basin","May Creek Subbasin","May Creek (Lake Washington)","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","P325",47.501068,-122.107952,766,320,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","May Creek Subbasin","May Creek (Lake Washington)","King County - Roads","ESA Water Quality","P325",47.501068,-122.107952,38958,39622,"Coarse",3,31,5,5,7,17,14,7,4,0.501,0.1,0.008,359,66,7.1,5.7,5.7,7.5,5.3,6.2,5.7,8.4,4.5,9.8,0.0338223454180593
"25",47,24,4,6,8,11,5,5,205,1,83,328,0.304878048780488,25.3048780487805,62.5,3.80952380952381,4.28571428571429,7.14285714285714,8.75,3.52941176470588,3.75,7.14285714285714,5.13157894736842,10,9.92909812819059,63.4710412212173,"King County - Roads",7,"Snoqualmie Forks Basin","Lower Middle Fork Snoqualmie Subbasin","Snoqualmie River - Middle Fork tributary (Lower)","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1058",47.485745,-121.733024,390,321,7,"WRIA 7 - Snohomish","Snoqualmie Forks Basin","Lower Middle Fork Snoqualmie Subbasin","Snoqualmie River - Middle Fork tributary (Lower)","King County - Roads","ESA Water Quality","E1058",47.485745,-121.733024,38959,39622,"Coarse",3,24,4,6,8,18,11,5,5,0.625,0.253,0.003,328,63.5,3.8,4.3,7.1,8.8,3.5,3.8,7.1,5.1,10,9.9,-0.028958778782723
"26",48,32,5,6,6,19,11,5,150,62,107,482,12.8630705394191,22.1991701244813,31.1203319502075,7.61904761904762,5.71428571428571,7.14285714285714,6.25,8.23529411764706,10,7.14285714285714,10,10,7.00858824664672,79.1129299833414,"King County - Roads",7,"Snoqualmie Forks Basin","Lower Middle Fork Snoqualmie Subbasin","Snoqualmie River - Middle Fork tributary (Lower)","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","N3872",47.470252,-121.686539,398,322,7,"WRIA 7 - Snohomish","Snoqualmie Forks Basin","Lower Middle Fork Snoqualmie Subbasin","Snoqualmie River - Middle Fork tributary (Lower)","King County - Roads","ESA Water Quality","N3872",47.470252,-121.686539,38959,39622,"Coarse",3,32,5,6,6,17,19,11,5,0.311,0.222,0.129,482,79.1,7.6,5.7,7.1,6.2,8.2,10,7.1,10,10,7,0.012929983341408
"27",49,21,1,6,6,12,6,4,135,2,34,209,0.956937799043062,16.2679425837321,64.5933014354067,2.38095238095238,0,7.14285714285714,6.25,4.11764705882353,5,5.71428571428571,4.58071014857718,7.63397129186603,9.77745632580394,52.5978800631659,"King County - Roads",9,"Duwamish - Green River Basin","Middle Green River Subbasin","Green River - Middle tributary","ESA Water Quality","2006-09-11",2006,"ABR, Inc.","E2538",47.320439,-121.886233,1713,323,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Middle Green River Subbasin","Green River - Middle tributary","King County - Roads","ESA Water Quality","E2538",47.320439,-121.886233,38971,39622,"Coarse",3,21,1,6,6,13,12,6,4,0.646,0.163,0.01,209,52.6,2.4,0,7.1,6.2,4.1,5,5.7,4.6,7.7,9.8,-0.00211993683407741
"28",52,16,2,5,1,10,5,1,67,34,21,105,32.3809523809524,20,63.8095238095238,0,1.42857142857143,5.71428571428571,0,2.94117647058824,3.75,1.42857142857143,4.78696741854637,9.5,2.46954595791805,32.0191184184812,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Shinglemill Creek","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E1236",47.478435,-122.481798,1969,327,9,"WRIA 9 - Duwamish-Green","Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Shinglemill Creek","King County - Roads","ESA Water Quality","E1236",47.478435,-122.481798,38958,39622,"Coarse",3,16,2,5,1,8,10,5,1,0.638,0.2,0.324,105,32,0,1.4,5.7,0,2.9,3.8,1.4,4.8,9.5,2.5,0.0191184184812272
"29",53,26,7,7,2,15,8,5,260,4,20,355,1.12676056338028,5.63380281690141,73.2394366197183,4.76190476190476,8.57142857142857,8.57142857142857,1.25,5.88235294117647,7.5,7.14285714285714,2.3054114158636,2.3169014084507,9.737962659679,58.0402474727888,"King County - Roads",9,"Duwamish - Green River Basin","Newaukum Creek Subbasin","Newaukum Creek","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E519",47.231885,-121.962943,1750,329,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Newaukum Creek Subbasin","Newaukum Creek","King County - Roads","ESA Water Quality","E519",47.231885,-121.962943,38967,39622,"Coarse",3,26,7,7,2,16,15,8,5,0.732,0.056,0.011,355,58,4.8,8.6,8.6,1.2,5.9,7.5,7.1,2.3,2.3,9.7,0.0402474727888347
"30",54,26,2,4,6,12,5,0,327,21,44,483,4.34782608695652,9.10973084886128,67.7018633540373,4.76190476190476,1.42857142857143,4.28571428571429,6.25,4.11764705882353,3.75,0,3.76266753841125,4.05486542443064,8.98887765419616,41.4002481520521,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - N Fork","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E181",47.55039,-122.021642,1279,330,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - N Fork","King County - Roads","ESA Water Quality","E181",47.55039,-122.021642,38957,39622,"Coarse",3,26,2,4,6,12,12,5,0,0.677,0.091,0.043,483,41.4,4.8,1.4,4.3,6.2,4.1,3.8,0,3.8,4.1,9,0.000248152052051864
"31",55,33,6,5,6,14,7,4,123,1,48,218,0.458715596330275,22.0183486238532,56.4220183486239,8.09523809523809,7.14285714285714,5.71428571428571,6.25,5.29411764705882,6.25,5.71428571428571,6.73104780299372,10,9.8933219543418,71.085154071061,"King County - Roads",7,"Lower Snoqualmie Basin","Patterson Creek Subbasin","Canyon Creek (Snoqualmie River)","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E949",47.572258,-121.973315,244,331,7,"WRIA 7 - Snohomish","Lower Snoqualmie Basin","Patterson Creek Subbasin","Canyon Creek (Snoqualmie River)","King County - Roads","ESA Water Quality","E949",47.572258,-121.973315,38967,39622,"Coarse",3,33,6,5,6,17,14,7,4,0.564,0.22,0.005,218,71.1,8.1,7.1,5.7,6.2,5.3,6.2,5.7,6.7,10,9.9,-0.014845928938982
