"","Visit.ID","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score.x","Agency.x","WRIA.Number.x","Basin.x","Subbasin.x","Stream.or.River","Project.x","Visit.Date","Year","Lab.Name","Site.Code.x","Latitude.x","Longitude.x","Row","Site.ID","WRIA.Number.y","WRIA","Basin.y","Subbasin.y","Stream","Agency.y","Project.y","Site.Code.y","Latitude.y","Longitude.y","Event.Date","Date.Released","Taxonomic.Resolution","Total.SqFt","Taxa.Richness.Quantity","Ephemeroptera.Richness.Quantity","Plecoptera.Richness.Quantity","Trichoptera.Richness.Quantity","EPT.Richness.Quantity","Clinger.Richness.Quantity","Long-Lived.Richness.Quantity","Intolerant.Richness.Quantity","Percent.Dominant.Quantity","Predator.Percent.Quantity","Tolerant.Percent.Quantity","Number.of.Organisms","Overall.Score.y","Taxa.Richness.Score","Ephemeroptera.Richness.Score","Plecoptera.Richness.Score","Trichoptera.Richness.Score","Clinger.Richness.Score","Long-Lived.Richness.Score","Intolerant.Richness.Score","Percent.Dominant.Score","Predator.Percent.Score","Tolerant.Percent.Score"
"11",6252,40,6,8,6,18,9,2,288,135,65,540,25,12.037037037037,53.3333333333333,4.48275862068965,7.14285714285714,10,6.25,6.47058823529412,8.75,2.85714285714286,4.23423423423423,5.51851851851852,4.18604651162791,59.8921461203644,"King County - DNRP",8,"Sammamish River Basin","Evans Creek Subbasin","Evans Creek","KC Historical","1995-08-24",1995,"Aquatic Biology Associates, Inc.","bear11",47.64914,-122.028706,120,1915,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Evans Creek Subbasin","Evans Creek","King County - DNRP","KC Historical","bear11",47.64914,-122.028706,34935,42376,"Fine",3,40,6,8,6,20,18,9,2,0.533,0.12,0.25,540,59.9,4.5,7.1,10,6.2,6.5,8.8,2.9,4.2,5.5,4.2
"12",6265,26,3,6,4,17,5,3,822,5,21,1129,0.442869796279894,1.86005314437555,72.8077945084145,0,2.85714285714286,7.14285714285714,3.75,5.88235294117647,3.75,4.28571428571429,0,0.430026572187777,9.89700702412095,37.9951008231995,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Little Soos Creek","KC Historical","1995-10-09",1995,"Aquatic Biology Associates, Inc.","soos08",47.366168,-122.117692,226,1936,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Little Soos Creek","King County - DNRP","KC Historical","soos08",47.366168,-122.117692,34981,42376,"Fine",3,26,3,6,4,13,17,5,3,0.728,0.019,0.004,1129,38,0,2.9,7.1,3.8,5.9,3.8,4.3,0,0.5,9.9
"13",6305,62,13,8,11,37,9,10,495,169,173,1291,13.0906274206042,13.4004647560031,38.3423702556158,10,10,10,10,10,8.75,10,8.28584587686059,6.20023237800155,6.95566804171996,90.1917462965821,"King County - DNRP",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek","KC Historical","1998-08-14",1998,"Aquatic Biology Associates, Inc.","issaq03",47.49984,-122.023912,137,1924,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek","King County - DNRP","KC Historical","issaq03",47.49984,-122.023912,36021,42376,"Fine",3,62,13,8,11,32,37,9,10,0.383,0.134,0.131,1291,90.2,10,10,10,10,10,8.8,10,8.3,6.2,7
"14",6306,66,12,8,14,38,10,10,982,106,167,1869,5.67148207597646,8.93525949705725,52.5414660246121,10,10,10,10,10,10,10,4.44825242578052,3.96762974852863,8.68105068000547,87.0969328543146,"King County - DNRP",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek","KC Historical","1998-08-17",1998,"Aquatic Biology Associates, Inc.","issaq04",47.457124,-122.003835,138,1925,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek","King County - DNRP","KC Historical","issaq04",47.457124,-122.003835,36024,42376,"Fine",3,66,12,8,14,34,38,10,10,0.525,0.089,0.057,1869,87.1,10,10,10,10,10,10,10,4.5,4,8.7
"15",6309,62,9,11,12,36,11,7,645,322,91,1492,21.5817694369973,6.09919571045576,43.230563002681,10,10,10,10,10,10,10,6.96471270197812,2.54959785522788,4.98098385186109,84.4952944090671,"King County - DNRP",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - E Fork","KC Historical","1998-08-20",1998,"Aquatic Biology Associates, Inc.","issaq06",47.531527,-122.02752,141,1926,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - E Fork","King County - DNRP","KC Historical","issaq06",47.531527,-122.02752,36027,42376,"Fine",3,62,9,11,12,32,36,11,7,0.432,0.061,0.216,1492,84.5,10,10,10,10,10,10,10,7,2.6,5
"16",6310,66,14,8,12,37,11,10,691,143,154,1565,9.13738019169329,9.84025559105431,44.1533546325879,10,10,10,10,10,10,10,6.71530955876004,4.42012779552716,7.87502786239691,89.0104652166841,"King County - DNRP",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek tributary (0203)","Ambient Monitoring","1998-08-27",1998,"Aquatic Biology Associates, Inc.","08ISS4373",47.501198,-122.02214,144,154,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek tributary (0203)","King County - DNRP","Ambient Monitoring","08ISS4373",47.501198,-122.02214,36034,42375,"Fine",3,66,14,8,12,34,37,11,10,0.442,0.098,0.091,1565,89,10,10,10,10,10,10,10,6.7,4.4,7.9
"17",6311,51,5,11,9,27,13,6,309,22,213,974,2.25872689938398,21.8685831622177,31.7248459958932,8.27586206896552,5.71428571428571,10,10,10,10,8.57142857142857,10,10,9.47471467456186,92.0362910292417,"King County - DNRP",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - N Fork","KC Historical","1998-08-31",1998,"Aquatic Biology Associates, Inc.","issaq07",47.54919,-122.02366,142,1927,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - N Fork","King County - DNRP","KC Historical","issaq07",47.54919,-122.02366,36038,42376,"Fine",3,51,5,11,9,25,27,13,6,0.317,0.219,0.023,974,92,8.3,5.7,10,10,10,10,8.6,10,10,9.5
"18",6312,66,7,14,11,27,16,9,309,7,130,861,0.813008130081301,15.0987224157956,35.8885017421603,10,8.57142857142857,10,10,10,10,10,8.94905358319992,7.04936120789779,9.81092834184156,94.3807717043678,"King County - DNRP",8,"Sammamish River Basin","Issaquah Creek Subbasin","Black Nugget Creek","KC Historical","1998-08-27",1998,"Aquatic Biology Associates, Inc.","issaq08",47.550459,-122.009355,129,1930,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Issaquah Creek Subbasin","Black Nugget Creek","King County - DNRP","KC Historical","issaq08",47.550459,-122.009355,36034,42376,"Fine",3,66,7,14,11,32,27,16,9,0.359,0.151,0.008,861,94.4,10,8.6,10,10,10,10,10,8.9,7.1,9.8
"19",6315,46,8,5,13,28,7,8,611,20,44,984,2.03252032520325,4.47154471544715,62.0934959349593,6.55172413793103,10,5.71428571428571,10,10,6.25,10,1.86662272028126,1.73577235772358,9.52732085460389,71.6457257848255,"King County - DNRP",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Peterson Creek (Cedar)","KC Historical","1998-08-28",1998,"Aquatic Biology Associates, Inc.","cedar01",47.414346,-122.050595,56,1920,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Peterson Creek (Cedar)","King County - DNRP","KC Historical","cedar01",47.414346,-122.050595,36035,42376,"Fine",3,46,8,5,13,26,28,7,8,0.621,0.045,0.02,984,71.7,6.6,10,5.7,10,10,6.2,10,1.9,1.8,9.5
"20",6316,49,8,7,6,23,6,5,648,219,118,1324,16.5407854984894,8.91238670694864,48.9425981873112,7.58620689655172,10,8.57142857142857,6.25,9.41176470588235,5,7.14285714285714,5.42091940883482,3.95619335347432,6.15330569802572,69.4926757770546,"King County - DNRP",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Peterson Creek (Cedar)","KC Historical","1998-09-18",1998,"Aquatic Biology Associates, Inc.","cedar02",47.422123,-122.073986,57,1921,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Peterson Creek (Cedar)","King County - DNRP","KC Historical","cedar02",47.422123,-122.073986,36056,42376,"Fine",3,49,8,7,6,21,23,6,5,0.489,0.089,0.165,1324,69.5,7.6,10,8.6,6.2,9.4,5,7.1,5.4,4,6.2
"21",6317,70,8,10,15,31,14,8,504,9,209,1246,0.7223113964687,16.7736757624398,40.4494382022472,10,10,10,10,10,10,10,7.71636805344671,7.8868378812199,9.8320206054724,95.435226540139,"King County - DNRP",8,"Cedar River / Lake Washington Basin","Upper Cedar River Subbasin","Rock Creek (Upper Cedar)","KC Historical","1998-10-01",1998,"Aquatic Biology Associates, Inc.","cedar04",47.364919,-122.01344,77,1917,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Upper Cedar River Subbasin","Rock Creek (Upper Cedar)","King County - DNRP","KC Historical","cedar04",47.364919,-122.01344,36069,42376,"Fine",3,70,8,10,15,33,31,14,8,0.404,0.168,0.007,1246,95.5,10,10,10,10,10,10,10,7.7,7.9,9.8
"22",6319,58,9,8,13,30,11,8,798,31,166,1679,1.84633710541989,9.8868374032162,47.5282906491959,10,10,10,10,10,10,10,5.8031646894065,4.4434187016081,9.57061927780933,89.8172026688239,"King County - DNRP",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Taylor Creek/Jem Creek (Lower Cedar)","KC Historical","1998-09-10",1998,"Aquatic Biology Associates, Inc.","cedar06",47.413358,-122.019732,61,1919,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Taylor Creek/Jem Creek (Lower Cedar)","King County - DNRP","KC Historical","cedar06",47.413358,-122.019732,36048,42376,"Fine",3,58,9,8,13,30,30,11,8,0.475,0.099,0.018,1679,89.8,10,10,10,10,10,10,10,5.8,4.5,9.6
"23",6320,63,10,11,12,28,15,12,517,37,157,1212,3.05280528052805,12.953795379538,42.6567656765677,10,10,10,10,10,10,10,7.11979306038712,5.97689768976898,9.29004528359813,92.3867360337542,"King County - DNRP",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Taylor Creek/Jem Creek tributary","KC Historical","1998-09-17",1998,"Aquatic Biology Associates, Inc.","cedar07",47.421117,-122.030588,62,1922,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Taylor Creek/Jem Creek tributary","King County - DNRP","KC Historical","cedar07",47.421117,-122.030588,36055,42376,"Fine",3,63,10,11,12,33,28,15,12,0.427,0.13,0.031,1212,92.4,10,10,10,10,10,10,10,7.1,6,9.3
"24",6321,54,9,10,11,32,15,9,786,25,63,1689,1.4801657785672,3.73001776198934,46.5364120781528,9.31034482758621,10,10,10,10,10,10,6.07123997887763,1.36500888099467,9.65577540033321,86.4023690877917,"King County - DNRP",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Walsh Lake Diversion","Ambient Monitoring","1998-08-28",1998,"Aquatic Biology Associates, Inc.","08CED4479",47.384812,-121.989235,63,126,8,"WRIA 8 - Cedar-Sammamish","Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Walsh Lake Diversion","King County - DNRP","Ambient Monitoring","08CED4479",47.384812,-121.989235,36035,42375,"Fine",3,54,9,10,11,30,32,15,9,0.465,0.037,0.015,1689,86.4,9.3,10,10,10,10,10,10,6.1,1.4,9.7
"25",6322,50,6,9,7,21,8,4,593,7,109,1165,0.600858369098712,9.35622317596567,50.9012875536481,7.93103448275862,7.14285714285714,10,7.5,8.23529411764706,7.5,5.71428571428571,4.89154390441944,4.17811158798283,9.86026549555844,72.9533924455093,"King County - DNRP",9,"Duwamish - Green River Basin","Jenkins Creek Subbasin","Jenkins Creek","KC Historical","1998-09-10",1998,"Aquatic Biology Associates, Inc.","soos07",47.378671,-122.052727,201,1935,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Jenkins Creek Subbasin","Jenkins Creek","King County - DNRP","KC Historical","soos07",47.378671,-122.052727,36048,42376,"Fine",3,50,6,9,7,22,21,8,4,0.509,0.094,0.006,1165,73,7.9,7.1,10,7.5,8.2,7.5,5.7,4.9,4.2,9.9
"26",6325,48,3,6,7,16,5,2,778,199,65,1566,12.7075351213282,4.1507024265645,49.6807151979566,7.24137931034483,2.85714285714286,7.14285714285714,7.5,5.29411764705882,3.75,2.85714285714286,5.2214283248766,1.57535121328225,7.04475927410972,50.4841786268151,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","KC Historical","1999-09-30",1999,"Aquatic Biology Associates, Inc.","soos01",47.417728,-122.159245,236,1928,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soos Creek","King County - DNRP","KC Historical","soos01",47.417728,-122.159245,36433,42375,"Fine",3,48,3,6,7,16,16,5,2,0.497,0.042,0.127,1566,50.5,7.2,2.9,7.1,7.5,5.3,3.8,2.9,5.2,1.6,7
"27",6328,51,10,10,10,30,12,9,914,11,107,1484,0.741239892183288,7.21024258760108,61.5902964959569,8.27586206896552,10,10,10,10,10,10,2.0026225686603,3.10512129380054,9.82761862972482,83.2112245611512,"King County - DNRP",9,"Duwamish - Green River Basin","Covington Creek Subbasin","Covington Creek","KC Historical","1999-10-04",1999,"Aquatic Biology Associates, Inc.","soos04",47.317962,-122.116187,189,1929,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Covington Creek Subbasin","Covington Creek","King County - DNRP","KC Historical","soos04",47.317962,-122.116187,36437,42375,"Fine",3,51,10,10,10,30,30,12,9,0.616,0.072,0.007,1484,83.2,8.3,10,10,10,10,10,10,2,3.1,9.8
"28",6329,50,9,9,10,28,14,6,528,31,113,1322,2.34493192133132,8.54765506807867,39.9394856278366,7.93103448275862,10,10,10,10,10,8.57142857142857,7.85419307355767,3.77382753403933,9.45466699503923,87.5851506568234,"King County - DNRP",9,"Duwamish - Green River Basin","Jenkins Creek Subbasin","Jenkins Creek","KC Historical","1999-09-30",1999,"Aquatic Biology Associates, Inc.","soos05",47.346408,-122.120757,200,1931,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Jenkins Creek Subbasin","Jenkins Creek","King County - DNRP","KC Historical","soos05",47.346408,-122.120757,36433,42375,"Fine",3,50,9,9,10,28,28,14,6,0.399,0.085,0.023,1322,87.6,7.9,10,10,10,10,10,8.6,7.9,3.8,9.5
"29",6330,59,8,7,10,27,7,7,610,74,134,1503,4.92348636061211,8.91550232867598,40.585495675316,10,10,8.57142857142857,10,10,6.25,10,7.6795957634281,3.95775116433799,8.85500317195067,85.3137786711453,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soosette Creek","KC Historical","1999-09-29",1999,"Aquatic Biology Associates, Inc.","soos06",47.320623,-122.160924,238,1932,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soosette Creek","King County - DNRP","KC Historical","soos06",47.320623,-122.160924,36432,42375,"Fine",3,59,8,7,10,25,27,7,7,0.406,0.089,0.049,1503,85.3,10,10,8.6,10,10,6.2,10,7.7,4,8.9
"30",6331,64,8,10,11,33,11,6,565,10,146,1540,0.649350649350649,9.48051948051948,36.6883116883117,10,10,10,10,10,10,8.57142857142857,8.73288873288873,4.24025974025974,9.84898822108124,91.3935652656583,"King County - DNRP",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Soosette Creek","KC Historical","1999-09-29",1999,"Aquatic Biology Associates, Inc.","soos06a",47.32385,-122.15849,239,1933,9,"WRIA 9 - Duwamish-Green","Duwamish - Green River Basin","Soos Creek Subbasin","Soosette Creek","King County - DNRP","KC Historical","soos06a",47.32385,-122.15849,36432,42375,"Fine",3,64,8,10,11,29,33,11,6,0.367,0.095,0.006,1540,91.4,10,10,10,10,10,10,8.6,8.7,4.2,9.9
"31",6332,46,5,7,9,23,8,4,492,8,181,1344,0.595238095238095,13.4672619047619,36.6071428571429,6.55172413793103,5.71428571428571,8.57142857142857,10,9.41176470588235,7.5,5.71428571428571,8.75482625482626,6.23363095238095,9.86157253599114,78.3135185870117,"King County - DNRP",8,"Sammamish River Basin","Bear Creek Subbasin","Cottage Lake Creek","KC Historical","1999-09-22",1999,"Aquatic Biology Associates, Inc.","bear01",47.717988,-122.086273,94,1911,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Bear Creek Subbasin","Cottage Lake Creek","King County - DNRP","KC Historical","bear01",47.717988,-122.086273,36425,42375,"Fine",3,46,5,7,9,21,23,8,4,0.366,0.135,0.006,1344,78.3,6.6,5.7,8.6,10,9.4,7.5,5.7,8.8,6.3,9.9
"32",6335,41,4,7,5,14,9,4,117,20,50,327,6.11620795107034,15.2905198776758,35.7798165137615,4.82758620689655,4.28571428571429,8.57142857142857,5,4.11764705882353,8.75,5.71428571428571,8.97842796925366,7.14525993883792,8.57762605789062,65.9679758031309,"King County - DNRP",8,"Sammamish River Basin","Evans Creek Subbasin","Evans Creek tributary (0111A)","KC Historical","1999-09-24",1999,"Aquatic Biology Associates, Inc.","bear05",47.638663,-122.024473,126,1912,8,"WRIA 8 - Cedar-Sammamish","Sammamish River Basin","Evans Creek Subbasin","Evans Creek tributary (0111A)","King County - DNRP","KC Historical","bear05",47.638663,-122.024473,36427,42375,"Fine",3,41,4,7,5,16,14,9,4,0.358,0.153,0.061,327,66,4.8,4.3,8.6,5,4.1,8.8,5.7,9,7.2,8.6
