"","Visit.ID","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score","Agency","WRIA.Number","Basin","Subbasin","Stream.or.River","Project","Visit.Date","Year","Lab.Name","Site.Code","Latitude","Longitude"
"11",12,39,9,9,7,24,10,7,332,3,52,454,0.66079295154185,11.4537444933921,73.1277533039648,10,10,10,7.5,10,10,10,2.33480176211453,5.22687224669604,9.84632722057166,84.9080012293822,"King County - Roads",9,"Duwamish - Green River Basin","Coal Creek (Green) Subbasin","Coal Creek (Green River)","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E375",47.268727,-121.915521
"12",13,33,8,6,6,20,10,8,190,10,80,495,2.02020202020202,16.1616161616162,38.3838383838384,8.09523809523809,10,7.14285714285714,6.25,8.82352941176471,10,10,10,7.58080808080808,9.53018557669721,87.4226183073652,"King County - Roads",7,"Lower Snoqualmie Basin","Kimball Creek Subbasin","Coal Creek (Snoqualmie River)","ESA Water Quality","2006-08-31",2006,"ABR, Inc.","E1191",47.526182,-121.837064
"13",14,29,7,7,5,17,8,3,286,156,45,500,31.2,9,57.2,6.19047619047619,8.57142857142857,8.57142857142857,5,7.05882352941176,7.5,4.28571428571429,6.52631578947369,4,2.74418604651163,60.4483729844447,"King County - Roads",9,"Duwamish - Green River Basin","Covington Creek Subbasin","Covington Creek","ESA Water Quality","2006-09-08",2006,"ABR, Inc.","E333",47.326202,-122.0011
"14",15,21,5,3,7,16,2,2,422,8,14,500,1.6,2.8,84.4,2.38095238095238,5.71428571428571,2.85714285714286,7.5,6.47058823529412,0,2.85714285714286,0,0.9,9.62790697674419,38.3080190215621,"King County - Roads",9,"Duwamish - Green River Basin","Covington Creek Subbasin","Covington Creek","ESA Water Quality","2006-09-08",2006,"ABR, Inc.","E3516",47.312395,-122.107782
"15",16,29,6,4,6,16,9,3,69,3,15,128,2.34375,11.71875,53.90625,6.19047619047619,7.14285714285714,4.28571428571429,6.25,6.47058823529412,8.75,4.28571428571429,7.39309210526316,5.359375,9.45494186046512,65.5827591057843,"King County - Roads",9,"Duwamish - Green River Basin","Deep Creek Subbasin","Deep Creek (Green River)","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E365/366",47.285648,-121.923668
"16",18,10,2,1,0,4,3,1,48,9,2,56,16.0714285714286,3.57142857142857,85.7142857142857,0,1.42857142857143,0,0,0,1.25,1.42857142857143,0,1.28571428571429,6.2624584717608,11.6553156146179,"King County - Roads",9,"Duwamish - Green River Basin","Duwamish River Subbasin","Duwamish River tributary (0003)","ESA Water Quality","2006-09-11",2006,"ABR, Inc.","E2223",47.502222,-122.299772
"17",19,26,8,8,4,16,6,5,240,1,32,353,0.28328611898017,9.06515580736544,67.9886685552408,4.76190476190476,10,10,3.75,6.47058823529412,5,7.14285714285714,3.68719248546295,4.03257790368272,9.93411950721391,64.7792400364156,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - E Fork","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E195",47.526245,-121.940341
"18",20,29,5,9,3,14,9,5,376,8,51,500,1.6,10.2,75.2,6.19047619047619,5.71428571428571,10,2.5,5.29411764705882,8.75,7.14285714285714,1.78947368421053,4.6,9.62790697674419,61.6091173556326,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - E Fork","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E186",47.532328,-121.975924
"19",21,24,7,4,5,16,4,5,354,14,31,500,2.8,6.2,70.8,3.80952380952381,8.57142857142857,4.28571428571429,5,6.47058823529412,2.5,7.14285714285714,2.94736842105263,2.6,9.34883720930233,52.6763176751729,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - E Fork","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E182",47.532351,-121.980214
"20",22,20,2,3,2,10,5,0,399,19,29,500,3.8,5.8,79.8,1.9047619047619,1.42857142857143,2.85714285714286,1.25,2.94117647058824,3.75,0,0.57894736842105,2.4,9.11627906976744,26.2268790992529,"King County - Roads",8,"Cedar River / Lake Washington Basin","E Lake Washington - Kenmore S Subbasin","Denny Creek","ESA Water Quality","2006-09-01",2006,"ABR, Inc.","E1111",47.709246,-122.249657
"21",23,32,3,8,4,12,10,2,336,37,41,462,8.00865800865801,8.87445887445888,72.7272727272727,7.61904761904762,2.85714285714286,10,3.75,4.11764705882353,10,2.85714285714286,2.44019138755981,3.93722943722944,8.13752139333535,55.7159226102815,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","McCormick Creek (Vashon)","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E1219",47.482269,-122.477836
"22",24,4,0,0,0,0,0,0,246,0,0,249,0,0,98.7951807228916,0,0,0,0,0,0,0,0,0,10,10,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Ellis Creek (Vashon)","ESA Water Quality","2006-08-23",2006,"ABR, Inc.","E1223",47.417337,-122.440172
"23",25,11,2,1,2,4,2,1,13,2,3,24,8.33333333333333,12.5,54.1666666666667,0,1.42857142857143,0,1.25,0,0,1.42857142857143,7.32456140350877,5.75,8.06201550387597,25.2437197645276,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Gorsuch Creek","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","P847",47.454895,-122.44634
"24",26,30,4,5,6,19,10,3,123,8,15,248,3.2258064516129,6.04838709677419,49.5967741935484,6.66666666666667,4.28571428571429,5.71428571428571,6.25,8.23529411764706,10,4.28571428571429,8.52716468590832,2.5241935483871,9.24981245311328,65.7388457574367,"King County - Roads",8,"Sammamish River Basin","Evans Creek Subbasin","Evans Creek tributary (0108)","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E882",47.672051,-122.079016
"25",27,12,0,3,2,4,5,0,52,7,2,69,10.1449275362319,2.89855072463768,75.3623188405797,0,0,2.85714285714286,1.25,0,3.75,0,1.74675819984744,0.949275362318841,7.6407145264577,18.1938909457668,"King County - Roads",8,"Sammamish River Basin","Evans Creek Subbasin","Rutherford Creek","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E892",47.651716,-122.039827
"26",28,24,6,7,5,17,8,6,132,3,23,206,1.45631067961165,11.1650485436893,64.0776699029126,3.80952380952381,7.14285714285714,8.57142857142857,5,7.05882352941176,7.5,8.57142857142857,4.71640265712825,5.08252427184466,9.66132309776473,67.1143116513875,"King County - Roads",7,"Lower Snoqualmie Basin","Harris Creek Subbasin","Harris Creek","ESA Water Quality","2006-08-31",2006,"ABR, Inc.","E1088",47.694576,-121.900166
"27",29,25,3,5,5,12,6,2,317,1,58,468,0.213675213675214,12.3931623931624,67.7350427350427,4.28571428571429,2.85714285714286,5.71428571428571,5,4.11764705882353,5,2.85714285714286,3.75393612235717,5.6965811965812,9.95030808984297,49.2327581818906,"King County - Roads",7,"Lower Snoqualmie Basin","Harris Creek Subbasin","Harris Creek","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1105",47.721954,-121.876792
"28",30,25,6,6,4,19,5,4,309,10,69,500,2,13.8,61.8,4.28571428571429,7.14285714285714,7.14285714285714,3.75,8.23529411764706,3.75,5.71428571428571,5.31578947368421,6.4,9.53488372093023,61.2716815979758,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","Holder Creek","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1161",47.434505,-121.972879
"29",31,29,5,8,6,18,11,7,185,10,88,415,2.40963855421687,21.2048192771084,44.578313253012,6.19047619047619,5.71428571428571,10,6.25,7.64705882352941,10,10,9.84781230183894,10,9.4396189408798,85.08925197101,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","McDonald Creek (Issaquah)","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E1138",47.479231,-122.035462
"30",32,31,6,7,6,22,8,7,234,18,39,500,3.6,7.8,46.8,7.14285714285714,7.14285714285714,8.57142857142857,6.25,10,7.5,10,9.26315789473684,3.4,9.16279069767442,78.4330914495541,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","Fifteenmile Creek","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E1139",47.483739,-122.029482
"31",33,25,5,5,5,16,4,4,291,36,65,500,7.2,13,58.2,4.28571428571429,5.71428571428571,5.71428571428571,5,6.47058823529412,2.5,5.71428571428571,6.26315789473684,6,8.32558139534884,55.9878989539512,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E3090",47.457599,-122.004644
"32",35,32,7,10,7,20,11,7,255,49,53,500,9.8,10.6,51,7.61904761904762,8.57142857142857,10,7.5,8.82352941176471,10,10,8.15789473684211,4.8,7.72093023255814,83.1928305716411,"King County - Roads",9,"Duwamish - Green River Basin","Jenkins Creek Subbasin","Jenkins Creek","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E216",47.340469,-122.129533
"33",36,11,2,1,2,6,1,0,162,38,2,222,17.1171171171171,0.900900900900901,72.972972972973,0,1.42857142857143,0,1.25,0.588235294117647,0,0,2.37553342816501,0,6.01927508904253,11.6616152398966,"King County - Roads",8,"Cedar River / Lake Washington Basin","Juanita Creek Subbasin","Juanita Creek","ESA Water Quality","2006-09-01",2006,"ABR, Inc.","E1186",47.725794,-122.192822
"34",37,20,3,3,5,10,5,2,124,20,35,237,8.43881856540084,14.7679324894515,52.3206751054852,1.9047619047619,2.85714285714286,2.85714285714286,5,2.94117647058824,3.75,2.85714285714286,7.81034865645125,6.88396624472574,8.03748405455794,44.8991659025136,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Judd Creek","ESA Water Quality","2006-09-05",2006,"ABR, Inc.","E1231/1232",47.422008,-122.477995
"35",38,18,3,4,3,10,5,3,328,203,35,500,40.6,7,65.6,0.952380952380952,2.85714285714286,4.28571428571429,2.5,2.94117647058824,3.75,4.28571428571429,4.31578947368421,3,0.55813953488372,29.4460578601085,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Judd Creek","ESA Water Quality","2006-09-05",2006,"ABR, Inc.","E2770",47.410858,-122.472551
"36",39,23,5,5,2,10,5,3,306,1,43,428,0.233644859813084,10.0467289719626,71.4953271028037,3.33333333333333,5.71428571428571,5.71428571428571,1.25,2.94117647058824,3.75,4.28571428571429,2.76438760452533,4.52336448598131,9.94566398608998,44.2222115948039,"King County - Roads",9,"Duwamish - Green River Basin","Lower Green River - W Subbasin","Bingamon Creek","ESA Water Quality","2006-09-11",2006,"ABR, Inc.","P586",47.353758,-122.264287
"37",40,20,3,4,3,10,7,5,89,10,30,171,5.84795321637427,17.5438596491228,52.046783625731,1.9047619047619,2.85714285714286,4.28571428571429,2.5,2.94117647058824,6.25,7.14285714285714,7.88242536164974,8.2719298245614,8.64001087991296,52.6760187271885,"King County - Roads",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Rock Creek","CIP Support","2006-08-31",2006,"ABR, Inc.","E633-CIP-1",47.379965,-122.017497
"38",41,31,6,8,7,18,8,7,288,120,41,500,24,8.2,57.6,7.14285714285714,7.14285714285714,10,7.5,7.64705882352941,7.5,10,6.42105263157895,3.6,4.41860465116279,71.3724303919854,"King County - Roads",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Rock Creek","CIP Support","2006-08-31",2006,"ABR, Inc.","E633-CIP-2",47.379986,-122.017264
"39",42,28,4,7,7,17,7,5,161,5,27,289,1.73010380622837,9.34256055363322,55.7093425605536,5.71428571428571,4.28571428571429,8.57142857142857,7.5,7.05882352941176,6.25,7.14285714285714,6.9185940630122,4.17128027681661,9.59765027762131,67.2106338611476,"King County - Roads",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Rock Creek","CIP Support","2006-08-31",2006,"ABR, Inc.","E633-CIP-3",47.379871,-122.017552
"40",43,32,7,7,8,18,7,4,204,44,47,500,8.8,9.4,40.8,7.61904761904762,8.57142857142857,8.57142857142857,8.75,7.64705882352941,6.25,5.71428571428571,10,4.2,7.95348837209302,75.2767376718129,"King County - Roads",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Taylor Creek/Jem Creek (Lower Cedar)","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E660",47.408665,-122.026802
"41",45,27,4,5,8,13,6,3,116,7,43,226,3.09734513274336,19.0265486725664,51.3274336283186,5.23809523809524,4.28571428571429,5.71428571428571,8.75,4.70588235294118,5,4.28571428571429,8.07172799254774,9.01327433628319,9.27968717843178,64.3443813840134,"King County - Roads",8,"Cedar River / Lake Washington Basin","Lower Cedar River Subbasin","Cedar River - Lower tributary","ESA Water Quality","2006-08-31",2006,"ABR, Inc.","E716",47.433416,-122.050215
"42",46,31,5,5,7,14,7,4,180,3,36,359,0.835654596100279,10.0278551532033,50.1392757660167,7.14285714285714,5.71428571428571,5.71428571428571,7.5,5.29411764705882,6.25,5.71428571428571,8.38440111420613,4.51392757660167,9.80566172183715,66.0338223454181,"King County - Roads",8,"Cedar River / Lake Washington Basin","May Creek Subbasin","May Creek (Lake Washington)","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","P325",47.501068,-122.107952
"43",47,24,4,6,8,11,5,5,205,1,83,328,0.304878048780488,25.3048780487805,62.5,3.80952380952381,4.28571428571429,7.14285714285714,8.75,3.52941176470588,3.75,7.14285714285714,5.13157894736842,10,9.92909812819059,63.4710412212173,"King County - Roads",7,"Snoqualmie Forks Basin","Lower Middle Fork Snoqualmie Subbasin","Snoqualmie River - Middle Fork tributary (Lower)","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","E1058",47.485745,-121.733024
"44",48,32,5,6,6,19,11,5,150,62,107,482,12.8630705394191,22.1991701244813,31.1203319502075,7.61904761904762,5.71428571428571,7.14285714285714,6.25,8.23529411764706,10,7.14285714285714,10,10,7.00858824664672,79.1129299833414,"King County - Roads",7,"Snoqualmie Forks Basin","Lower Middle Fork Snoqualmie Subbasin","Snoqualmie River - Middle Fork tributary (Lower)","ESA Water Quality","2006-08-30",2006,"ABR, Inc.","N3872",47.470252,-121.686539
"45",49,20,1,6,6,11,6,4,135,2,34,208,0.961538461538462,16.3461538461538,64.9038461538462,1.9047619047619,0,7.14285714285714,6.25,3.52941176470588,5,5.71428571428571,4.49898785425101,7.67307692307692,9.77638640429338,51.489767708232,"King County - Roads",9,"Duwamish - Green River Basin","Middle Green River Subbasin","Green River - Middle tributary","ESA Water Quality","2006-09-11",2006,"ABR, Inc.","E2538",47.320439,-121.886233
"46",50,23,5,3,4,12,4,0,272,19,76,500,3.8,15.2,54.4,3.33333333333333,5.71428571428571,2.85714285714286,3.75,4.11764705882353,2.5,0,7.26315789473684,7.1,9.11627906976744,45.7518459280897,"King County - Roads",9,"Duwamish - Green River Basin","Mill Creek Subbasin","Mill Creek (Auburn)","ESA Water Quality","2006-09-12",2006,"ABR, Inc.","P584",47.303243,-122.260485
"47",51,31,3,5,7,11,4,0,389,113,26,486,23.2510288065844,5.34979423868313,80.0411522633745,7.14285714285714,2.85714285714286,5.71428571428571,7.5,3.52941176470588,2.5,0,0.515486246480398,2.17489711934156,4.59278399846875,36.5268648432823,"King County - Roads",9,"Duwamish - Green River Basin","Mill Creek Subbasin","Mill Creek (Auburn)","ESA Water Quality","2006-09-12",2006,"ABR, Inc.","E2599",47.303298,-122.271993
"48",52,16,2,5,1,10,5,1,67,34,21,105,32.3809523809524,20,63.8095238095238,0,1.42857142857143,5.71428571428571,0,2.94117647058824,3.75,1.42857142857143,4.78696741854637,9.5,2.46954595791805,32.0191184184812,"King County - Roads",9,"Puget Sound (Duwamish-Green) Basin","Vashon-Maury Island Subbasin","Shinglemill Creek","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E1236",47.478435,-122.481798
"49",53,26,7,7,2,15,8,5,260,4,20,355,1.12676056338028,5.63380281690141,73.2394366197183,4.76190476190476,8.57142857142857,8.57142857142857,1.25,5.88235294117647,7.5,7.14285714285714,2.3054114158636,2.3169014084507,9.737962659679,58.0402474727888,"King County - Roads",9,"Duwamish - Green River Basin","Newaukum Creek Subbasin","Newaukum Creek","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E519",47.231885,-121.962943
"50",54,26,2,4,6,12,5,0,327,21,44,483,4.34782608695652,9.10973084886128,67.7018633540373,4.76190476190476,1.42857142857143,4.28571428571429,6.25,4.11764705882353,3.75,0,3.76266753841125,4.05486542443064,8.98887765419616,41.4002481520521,"King County - Roads",8,"Sammamish River Basin","Issaquah Creek Subbasin","Issaquah Creek - N Fork","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E181",47.55039,-122.021642
"51",55,33,6,5,6,14,7,4,123,1,49,218,0.458715596330275,22.4770642201835,56.4220183486239,8.09523809523809,7.14285714285714,5.71428571428571,6.25,5.29411764705882,6.25,5.71428571428571,6.73104780299372,10,9.8933219543418,71.085154071061,"King County - Roads",7,"Lower Snoqualmie Basin","Patterson Creek Subbasin","Canyon Creek (Snoqualmie River)","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E949",47.572258,-121.973315
"52",56,32,6,9,7,21,9,8,266,12,43,500,2.4,8.6,53.2,7.61904761904762,7.14285714285714,10,7.5,9.41176470588235,8.75,10,7.57894736842105,3.8,9.44186046511628,81.2444773013244,"King County - Roads",7,"Lower Snoqualmie Basin","Raging River Subbasin","Raging River tributary","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E818",47.503829,-121.904076
"53",58,27,5,6,4,15,8,4,334,5,12,481,1.03950103950104,2.49480249480249,69.4386694386694,5.23809523809524,5.71428571428571,7.14285714285714,3.75,5.88235294117647,7.5,5.71428571428571,3.30561330561331,0.747401247401247,9.75825557220906,54.7531468759239,"King County - Roads",8,"Sammamish River Basin","Sammamish River Subbasin","Sammamish River tributary (0090)","ESA Water Quality","2006-09-05",2006,"ABR, Inc.","E1114",47.735764,-122.142252
"54",59,16,1,3,3,7,5,1,51,30,15,96,31.25,15.625,53.125,0,0,2.85714285714286,2.5,1.17647058823529,3.75,1.42857142857143,7.59868421052632,7.3125,2.73255813953488,29.3559272240108,"King County - Roads",8,"Sammamish River Basin","Sammamish River Subbasin","Gold Creek (Sammamish)","ESA Water Quality","2006-09-01",2006,"ABR, Inc.","E1118",47.740392,-122.143717
"55",60,12,1,0,0,4,5,0,160,109,1,265,41.1320754716981,0.377358490566038,60.377358490566,0,0,0,0,0,3.75,0,5.6901688182721,0,0.434401053093461,9.87456987136556,"King County - Roads",8,"Sammamish River Basin","Sammamish River Subbasin","High School Creek","CIP Support","2006-08-31",2006,"ABR, Inc.","Sammamish 1-A",47.710647,-122.141904
"56",61,16,1,1,0,6,6,0,196,129,5,236,54.6610169491525,2.11864406779661,83.0508474576271,0,0,0,0,0.588235294117647,5,0,0,0.559322033898305,0,6.14755732801595,"King County - Roads",8,"Sammamish River Basin","Sammamish River Subbasin","High School Creek","CIP Support","2006-08-31",2006,"ABR, Inc.","Sammamish 1-B",47.71061,-122.137148
"57",62,10,0,0,0,2,5,0,147,5,4,165,3.03030303030303,2.42424242424242,89.0909090909091,0,0,0,0,0,3.75,0,0,0.712121212121212,9.29527836504581,13.757399577167,"King County - Roads",8,"Sammamish River Basin","Sammamish River Subbasin","High School Creek","CIP Support","2006-08-31",2006,"ABR, Inc.","Sammamish 1-C",47.712305,-122.131701
"58",63,29,4,7,8,14,7,7,385,5,30,500,1,6,77,6.19047619047619,4.28571428571429,8.57142857142857,8.75,5.29411764705882,6.25,10,1.31578947368421,2.5,9.76744186046512,62.9249680288272,"King County - Roads",7,"Upper Skykomish Basin","Foss River Subbasin","Foss River tributary","ESA Water Quality","2006-09-05",2006,"ABR, Inc.","E2646",47.696367,-121.29699
"59",64,8,0,0,1,1,0,0,102,79,1,138,57.2463768115942,0.72463768115942,73.9130434782609,0,0,0,0,0,0,0,2.12814645308925,0,0,2.12814645308925,"King County - Roads",7,"Lower Snoqualmie Basin","Harris Creek Subbasin","Adair Creek tributary","ESA Water Quality","2006-08-29",2006,"ABR, Inc.","E2072",47.709167,-122.002589
"60",65,14,3,1,4,11,5,2,46,31,9,73,42.4657534246575,12.3287671232877,63.013698630137,0,2.85714285714286,0,3.75,3.52941176470588,3.75,2.85714285714286,4.99639509733237,5.66438356164384,0.124243389614527,27.5287195275823,"King County - Roads",7,"Lower Snoqualmie Basin","Raging River Subbasin","Snoqualmie River tributary (Raging River subbasin)","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E2118",47.553046,-121.877166
"61",66,17,4,3,2,10,6,3,58,0,9,83,0,10.8433734939759,69.8795180722892,0.476190476190476,4.28571428571429,2.85714285714286,1.25,2.94117647058824,5,4.28571428571429,3.18960050729233,4.92168674698795,10,39.2072256296304,"King County - Roads",7,"Lower Snoqualmie Basin","Kimball Creek Subbasin","Brockway Creek","ESA Water Quality","2006-08-01",2006,"ABR, Inc.","E2153",47.529513,-121.802481
"62",67,22,3,5,4,12,10,3,75,18,34,134,13.4328358208955,25.3731343283582,55.9701492537313,2.85714285714286,2.85714285714286,5.71428571428571,3.75,4.11764705882353,10,4.28571428571429,6.84996072270228,10,6.876084692815,57.3079781886265,"King County - Roads",7,"Lower Snoqualmie Basin","Cherry Creek Subbasin","Snoqualmie River tributary (Cherry Creek subbasin)","ESA Water Quality","2006-08-28",2006,"ABR, Inc.","E2052",47.737755,-122.014856
"63",68,26,5,7,4,15,8,3,332,6,30,500,1.2,6,66.4,4.76190476190476,5.71428571428571,8.57142857142857,3.75,5.88235294117647,7.5,4.28571428571429,4.10526315789474,2.5,9.72093023255814,56.7918796649627,"King County - Roads",9,"Duwamish - Green River Basin","Soos Creek Subbasin","United Nations Creek","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E234",47.418118,-122.154493
"64",69,31,6,7,6,15,8,4,128,6,14,225,2.66666666666667,6.22222222222222,56.8888888888889,7.14285714285714,7.14285714285714,8.57142857142857,6.25,5.88235294117647,7.5,5.71428571428571,6.60818713450293,2.61111111111111,9.37984496124031,66.8029247194594,"King County - Roads",9,"Duwamish - Green River Basin","Soos Creek Subbasin","Little Soos Creek","ESA Water Quality","2006-09-07",2006,"ABR, Inc.","E242",47.387033,-122.109331
